Диалоги,Ссылки
"Разговаривая с персонажами, игрок знакомится с миром и получает информацию, важную для понимания сюжета. Он знакомится с персонажами и развивает с ними отношения, прямо или косвенно влияет на игровой мир.",https://synergy.ru/akademiya/gejmdev/kak_pridumat_unikalnyij_syuzhet_dlya_igryi_poshagovaya_instrukcziya?ysclid=manyr6c3le680705379
"Разговоры реализуются двумя способами: разговоры персонажей при игроке (Ключевые диалоги, связанные с важными моментами сюжета, лучше показывать в виде кат-сцен. Это короткие видеоролики, которые прерывают игровой процесс. Бытовые диалоги происходят во время игры. Фоновые беседы погружают в атмосферу, мотивируют изучать мир и дают подсказки, важные для понимания сюжета) и диалог игрока и персонажа (Такие беседы дают много информации и направляют игроков по сценарию. Игрок может расспрашивать персонажей о их жизни и событиях в мире, брать и выполнять квесты, мотивировать героев на действия. Механику обычно реализуют в виде диалогового окна. Игрок читает реплики собеседника и выбирает свои варианты ответа.)",https://synergy.ru/akademiya/gejmdev/kak_pridumat_unikalnyij_syuzhet_dlya_igryi_poshagovaya_instrukcziya?ysclid=manyr6c3le680705379
"В разговорах с персонажами в визуальных новеллах игрок принимает решения, которые влияют на игровой мир. Диалоговые окна могут быть важной частью геймплея. ",https://synergy.ru/akademiya/gejmdev/kak_pridumat_unikalnyij_syuzhet_dlya_igryi_poshagovaya_instrukcziya?ysclid=manyr6c3le680705379
"Типы диалогов: Диалоги отличаются по степени интерактивности:
1. Линейные. (Игрок слушает других персонажей или беседу с участием главного героя. Он не может выбирать реплики и влиять на сюжет.)
2. Экспозиционные. (Игрок выбирает тему, которую он хочет обсудить с другим персонажем. Сценарий разговора внутри активной ветки остается линейным.)
3. Разветвленные. (Игрок активно влияет на развитие диалога и результат беседы. Он может выбирать из вариантов ответа и отыгрывать разные характеры. Беседа может ветвиться, а фразы могут повторяться. От игрока зависит история мира и даже геймплей.)",https://synergy.ru/akademiya/gejmdev/kak_pridumat_unikalnyij_syuzhet_dlya_igryi_poshagovaya_instrukcziya?ysclid=manyr6c3le680705379
"Игровой диалог — это мини-сценарий, у которого есть завязка, развитие сюжета и конец. Беседа начинается с приветствия. Реакция на героя может зависеть от его пола, расы, статуса, профессии и репутации. Беседы заканчиваются прощанием. Придумайте финальные реплики, чтобы персонажи казались живыми, а не функциями.",https://synergy.ru/akademiya/gejmdev/kak_pridumat_unikalnyij_syuzhet_dlya_igryi_poshagovaya_instrukcziya?ysclid=manyr6c3le680705379
"Спрячьте в репликах собеседника подсказки, как продвигаться по сюжету.",https://synergy.ru/akademiya/gejmdev/kak_sozdat_zaxvatyivayushhie_dialogi_v_igrax_polnyij_gid?ysclid=manyyyqsnu597912444
"Слова и манера речи отражают характер и биографию того, кто говорит. Реплики раскрывают собеседников и передают эмоции. Сценарии погружают в атмосферу и заставляют сочувствовать героям.",https://synergy.ru/akademiya/gejmdev/kak_sozdat_zaxvatyivayushhie_dialogi_v_igrax_polnyij_gid?ysclid=manyyyqsnu597912444
"Речь персонажа должна отражать эпоху, биографию и социальный статус героя. ",https://synergy.ru/akademiya/gejmdev/kak_sozdat_zaxvatyivayushhie_dialogi_v_igrax_polnyij_gid?ysclid=manyyyqsnu597912444
Не должно быть однозначно хороших и простых решений. Главного героя нельзя назвать однозначно хорошим или плохим персонажем: он часто вынужден принимать неоднозначные решения.,https://synergy.ru/akademiya/gejmdev/kak_sozdat_zaxvatyivayushhie_dialogi_v_igrax_polnyij_gid?ysclid=manyyyqsnu597912444
"У диалога должна быть цель. Диалог характеризуют острота и концентрированность действия, для которых требуются, во-первых, сильные цели (убедить, очаровать, спровоцировать действие), а во-вторых, ощутимые усилия по реализации этих самых целей (от банальной имитации доброжелательности до физических пыток).",https://dtf.ru/gamedev/106250-dialogi-v-igrah-chetyre-poleznyh-principa?ysclid=manxg2edys719437375
"Диалог в самом общем виде имеет классическую структуру: завязка, развитие, кульминация, развязка.
",https://dtf.ru/gamedev/106250-dialogi-v-igrah-chetyre-poleznyh-principa?ysclid=manxg2edys719437375
"Избейгайте повторов. Разные по звучанию реплики, которые генерируют у собеседников или игрока одну и ту же эмоцию равной силы подряд (печаль, радость, страх, неприязнь) — это тоже повтор, придумайте что-то новенькое.",https://dtf.ru/gamedev/106250-dialogi-v-igrah-chetyre-poleznyh-principa?ysclid=manxg2edys719437375
"Персонажи, говорящие с подтекстом, выглядят живее и интереснее. А чисто информационные реплики без подтекста чрезвычайно унылы.",https://dtf.ru/gamedev/106250-dialogi-v-igrah-chetyre-poleznyh-principa?ysclid=manxg2edys719437375
"Не надо в диалоге пытаться раскрывать глубинные мотивы и подспудные сомнения, о которых не подозревает даже их носитель.",https://dtf.ru/gamedev/106250-dialogi-v-igrah-chetyre-poleznyh-principa?ysclid=manxg2edys719437375
"Длинное составное предложение куда сложнее для чтения, чем три коротких той же суммарной длины. Рубите крупное на части.",https://dtf.ru/gamedev/106250-dialogi-v-igrah-chetyre-poleznyh-principa?ysclid=manxg2edys719437375
,
Персонажи,
"Придумать персонажа, который поможет игроку освоиться в мире. Герой может быть другом или учителем главного героя. Первый персонаж, с которым знакомится герой должен вызывать симпатию. Это поможет удержать внимание игрока.",https://synergy.ru/akademiya/gejmdev/kak_sozdat_zaxvatyivayushhie_dialogi_v_igrax_polnyij_gid?ysclid=manyyyqsnu597912444
У каждого из жителей мира должна быть своя роль в сюжете. Наделите ключевых персонажей личностями и придумайте для них короткие биографии. Это поможет выбрать стиль речи и типичные слова для каждого героя. У персонажей могут быть скрытые прототипы из книг или кинофильмов.,https://skillbox.ru/media/gamedev/kak-napisat-personazha-dlya-igry-bazovye-shagi/?ysclid=manxzvah7u398939015
"Определитесь с типом героя в зависимости от того, какую функцию он будет выполнять в игре:
играбельный / неиграбельный;
друг / враг / нейтральный",https://skillbox.ru/media/gamedev/kak-napisat-personazha-dlya-igry-bazovye-shagi/?ysclid=manxzvah7u398939015
"Неиграбельные персонажи (NPC) делятся на несколько категорий:
Враги: рядовые, мини-боссы и боссы.
Союзники: NPC, которые помогают игроку, сопровождают его.
Дополнительные: NPC, работающие на повествование и создающие атмосферу. Они могут, например, реагировать на определённые события и давать квесты, раскрывающие лор игры.",https://skillbox.ru/media/gamedev/kak-napisat-personazha-dlya-igry-bazovye-shagi/?ysclid=manxzvah7u398939015
"Обозначить небольшую предысторию и особенности героя. Для этого стоит ответить на несколько общих вопросов:
- Откуда он пришёл?
- Каким было его прошлое?
- Во что он верит?
- В чём его особенности?
- Что им руководит и какая у него мотивация?
- Какие у него отношения с другими героями?
- Как игрок встретится с персонажем?
- К чему приведёт эта встреча?",https://skillbox.ru/media/gamedev/kak-napisat-personazha-dlya-igry-bazovye-shagi/?ysclid=manxzvah7u398939015
"Главный герой чаще лучше проработан с точки зрения характера, поскольку он — двигатель сюжета, а вот NPC может обладать небольшим набором черт.",https://skillbox.ru/media/gamedev/kak-napisat-personazha-dlya-igry-bazovye-shagi/?ysclid=manxzvah7u398939015
"Враги не обязательно должны быть злодеями на сто процентов, без единой индивидуальной особенности, кроме непреодолимого желания уничтожить протагониста, — наоборот. Их неоднозначность добавляет сюжету глубины — но на первый план будут выступать скорее отрицательные черты.",https://skillbox.ru/media/gamedev/kak-napisat-personazha-dlya-igry-bazovye-shagi/?ysclid=manxzvah7u398939015
Персонаж не должен выбиваться из окружения.,https://skillbox.ru/media/gamedev/kak-napisat-personazha-dlya-igry-bazovye-shagi/?ysclid=manxzvah7u398939015
Дайте персонажу недостатки. Этот небольшой пункт сделает героя более живым и привлечёт внимание.,https://skillbox.ru/media/gamedev/kak-napisat-personazha-dlya-igry-bazovye-shagi/?ysclid=manxzvah7u398939015
,
Сюжет,
"Диалоги влияют на сюжет. Последствия могут быть тактические или краткосрочные (например, когда главный герой оскорбляет другого персонажа, тот вступает в драку.) и стратегические или долгосрочные (если герой часто дерется, его репутация ухудшается. Торговцы предлагают ему завышенные цены, а некоторые персонажи отказываются с ним разговаривать, зато преступники начинают его уважать.)",https://synergy.ru/akademiya/gejmdev/kak_sozdat_zaxvatyivayushhie_dialogi_v_igrax_polnyij_gid?ysclid=manyyyqsnu597912444
"Прежде чем писать реплики героев, определите сюжет истории. На этапе разработки диалогов он должен быть понятен в общих чертах. ",https://dtf.ru/id306047/294634-kak-pridumat-syuzhet-igre-moi-opyt-napisanie-igrovogo-scenariya?ysclid=manychaupx580865111
"Сценарий как игры, так и одной главы можно поделить на три части: завязка, конфликт, развязка.",https://dtf.ru/id306047/294634-kak-pridumat-syuzhet-igre-moi-opyt-napisanie-igrovogo-scenariya?ysclid=manychaupx580865111
